"CDX.NA.IG.8","Tranched","124,915,573,433","18,726,177,790","1,082",
"CDX.NA.IG.8","Untranched","94,764,593,654","17,374,789,333","244",
"CDX.NA.IG.9","Tranched","602,609,851,553","66,174,545,841","10,249",
"CDX.NA.IG.9","Untranched","830,521,929,057","111,243,228,445","1,947",
"CDX.NA.XO.9","Untranched","1,558,515,094","795,328,579","28",
"CMBX.NA.A.1","Untranched","4,482,588,201","691,560,000","377",
"CMBX.NA.A.2","Untranched","7,006,357,540","315,517,000","232",
"CMBX.NA.A.3","Untranched","6,130,567,520","929,722,000","302",
"CMBX.NA.A.4","Untranched","1,223,471,100","262,330,000","167",
"CMBX.NA.A.5","Untranched","601,576,000","275,000,000","150",
"CMBX.NA.AA.1","Untranched","2,042,856,000","403,273,000","192",
"CMBX.NA.AA.2","Untranched","3,474,905,518","392,265,000","271",
"CMBX.NA.AA.3","Untranched","3,779,928,910","499,880,000","272",
"CMBX.NA.AA.4","Untranched","2,293,728,600","524,820,000","343",
"CMBX.NA.AA.5","Untranched","832,143,000","338,000,000","172",
"CMBX.NA.AAA.1","Untranched","21,709,231,655","8,288,488,000","1,026",
"CMBX.NA.AAA.2","Untranched","8,664,342,265","2,822,386,000","508",
"CMBX.NA.AAA.3","Untranched","9,413,695,429","2,706,369,500","683",
"CMBX.NA.AAA.4","Untranched","6,179,661,085","915,461,500","357",
"CMBX.NA.AAA.5","Untranched","1,132,940,000","212,235,000","135",
"CMBX.NA.AJ.1","Untranched","6,585,040,200","1,413,110,000","264",
"CMBX.NA.AJ.2","Untranched","6,503,542,700","862,306,000","395",
"CMBX.NA.AJ.3","Untranched","7,437,003,900","1,148,085,000","774",
"CMBX.NA.AJ.4","Untranched","5,928,294,258","1,382,238,000","719",
"CMBX.NA.AJ.5","Untranched","992,992,800","282,125,000","188",
"CMBX.NA.AM.1","Untranched","2,867,849,000","852,126,000","406",
"CMBX.NA.AM.2","Untranched","1,684,180,000","564,960,000","136",
"CMBX.NA.AM.3","Untranched","3,639,984,432","660,801,000","342",
"CMBX.NA.AM.4","Untranched","2,320,566,640","707,155,000","423",
"CMBX.NA.AM.5","Untranched","307,000,000","60,500,000","18",
"CMBX.NA.BB.2","Untranched","177,885,300","91,900,000","14",
"CMBX.NA.BBB.1","Untranched","2,540,382,925","609,800,000","148",
"CMBX.NA.BBB.2","Untranched","2,750,826,571","200,705,000","68",
"CMBX.NA.BBB.3","Untranched","2,115,244,642","200,116,742","63",
"CMBX.NA.BBB.4","Untranched","273,354,500","54,000,000","28",
"CMBX.NA.BBB.5","Untranched","165,000,000","70,000,000","25",
"CMBX.NA.BBB-.1","Untranched","2,690,308,321","737,144,195","74",
"CMBX.NA.BBB-.2","Untranched","2,804,100,074","372,000,000","93",
"CMBX.NA.BBB-.3","Untranched","840,674,752","217,879,688","64",
"CMBX.NA.BBB-.4","Untranched","241,944,800","101,940,000","32",
"DOW JONES CDX.NA.HY.6","Untranched","435,250,000","168,750,000","18",
"DOW JONES CDX.NA.HY.7","Tranched","5,634,437,190","1,428,238,000","155",
"DOW JONES CDX.NA.HY.7","Untranched","5,505,849,772","2,356,136,600","80",
"DOW JONES CDX.NA.IG.HVOL.2","Untranched","557,000,000","76,870,000","21",
"DOW JONES CDX.NA.IG.HVOL.3","Untranched","1,670,101,586","158,000,000","33",
"DOW JONES CDX.NA.IG.HVOL.4","Untranched","1,893,955,971","275,000,000","24",
"DOW JONES CDX.NA.IG.HVOL.7","Untranched","966,420,230","230,000,000","11",
"DOW JONES CDX.NA.IG.1","Tranched","283,462,500","140,000,000","12",
"DOW JONES CDX.NA.IG.1","Untranched","1,237,250,000","525,750,000","22",
"DOW JONES CDX.NA.IG.2","Tranched","2,538,151,150","636,000,000","90",
"DOW JONES CDX.NA.IG.2","Untranched","5,467,632,165","1,712,250,000","47",
"DOW JONES CDX.NA.IG.3","Tranched","11,364,407,007","1,220,450,000","275",
"DOW JONES CDX.NA.IG.3","Untranched","13,630,491,693","5,578,270,000","71",
"DOW JONES CDX.NA.IG.4","Tranched","10,876,682,185","1,567,918,000","429",
"DOW JONES CDX.NA.IG.4","Untranched","26,501,906,902","7,077,399,940","103",
"DOW JONES CDX.NA.IG.5","Tranched","49,036,228,686","12,868,938,400","861",
"DOW JONES CDX.NA.IG.5","Untranched","41,032,024,680","9,957,100,000","183",
"DOW JONES CDX.NA.IG.6","Tranched","91,897,281,279","26,325,946,688","823",
"DOW JONES CDX.NA.IG.6","Untranched","67,404,851,137","17,837,276,501","237",
"DOW JONES CDX.NA.IG.7","Tranched","147,780,941,323","36,354,448,400","1,018",
"DOW JONES CDX.NA.IG.7","Untranched","135,920,963,686","26,221,826,204","372",
"IOS.FN30.350.10","Untranched","1,206,500,000","555,000,000","50",
"IOS.FN30.400.09","Untranched","5,583,195,000","875,250,000","145",
"IOS.FN30.400.10","Untranched","8,711,919,000","2,366,614,000","600",
"IOS.FN30.400.11","Untranched","1,048,040,000","260,000,000","61",
"IOS.FN30.450.09","Untranched","9,285,342,300","1,957,700,000","257",
"IOS.FN30.450.10","Untranched","4,622,243,000","972,200,000","111",
"IOS.FN30.450.11","Untranched","799,000,000","357,000,000","23",
"IOS.FN30.500.03","Untranched","981,056,000","325,900,000","32",
"IOS.FN30.500.05","Untranched","607,715,000","60,000,000","14",
"IOS.FN30.500.08","Untranched","2,237,600,000","153,000,000","104",
"IOS.FN30.500.09","Untranched","9,322,761,545","1,405,350,783","176",
"IOS.FN30.500.10","Untranched","6,730,856,000","1,586,110,000","187",
