"ITRAXX JAPAN 80 SERIES 8","Untranched","On","726,245,486","20","76,800,000","3","803,045,486","23",
"ITRAXX SOVX CEEMEA SERIES 8","Untranched","On","1,433,750,000","70","230,000,000","8","1,663,750,000","78",
"ITRAXX SOVX WESTERN EUROPE SERIES 7","Untranched","On","4,478,534,041","259","245,832,500","23","4,724,366,541","282",
"LCDX.NA SERIES 18","Untranched","On","1,238,013,900","168","665,300,000","66","1,903,313,900","234",
"MBX.FN30.350.10","Untranched","On","414,000,000","35","40,000,000","1","454,000,000","36",
"MBX.FN30.400.09-V1","Untranched","On","1,247,946,000","57","106,000,000","3","1,353,946,000","60",
"MBX.FN30.450.09-V1","Untranched","On","1,307,894,000","74","17,800,000","2","1,325,694,000","76",
"MBX.FN30.500.09-V1","Untranched","On","1,626,750,000","197","51,400,000","2","1,678,150,000","199",
"MBX.FN30.500.10","Untranched","On","4,978,646,000","246","100,000,000","1","5,078,646,000","247",
"MBX.FN30.550.08-V1","Untranched","On","577,000,000","14","110,000,000","1","687,000,000","15",
"MBX.FN30.650.67","Untranched","On","9,777,362,000","37","8,823,361,000","274","18,600,723,000","311",
"MBX.GII30.450.10","Untranched","On","285,000,000","45","0","0","285,000,000","45",
"MBX.GII30.500.10","Untranched","On","1,300,000,000","35","0","0","1,300,000,000","35",
"MCDX.NA.18","Untranched","On","4,611,750,000","416","405,300,000","31","5,017,050,000","447",
"PO.FN30.650.67","Untranched","On","2,146,500,000","10","63,500,000","1","2,210,000,000","11",
"PRIMEX.ARM.1","Untranched","On","2,642,195,000","178","914,435,785","199","3,556,630,785","377",
"PRIMEX.ARM.2","Untranched","On","1,636,870,000","185","390,000,000","34","2,026,870,000","219",
"PRIMEX.FRM.1","Untranched","On","1,041,271,000","55","225,814,000","27","1,267,085,000","82",
"PRIMEX.FRM.2","Untranched","On","1,965,620,000","63","390,000,000","80","2,355,620,000","143",
"TABX.HE.07-1.06-2.BBB.35-100","Tranched","On","453,000,000","14","0","0","453,000,000","14",
"TABX.HE.07-1.06-2.BBB-.0-5","Tranched","On","210,000,000","25","10,000,000","3","220,000,000","28",
"TABX.HE.07-1.06-2.BBB-.10-15","Tranched","On","190,000,000","36","0","0","190,000,000","36",
"TABX.HE.07-1.06-2.BBB-.15-25","Tranched","On","248,000,000","24","10,000,000","1","258,000,000","25",
"TABX.HE.07-1.06-2.BBB-.25-40","Tranched","On","382,500,000","44","140,000,000","19","522,500,000","63",
"TABX.HE.07-1.06-2.BBB-.40-100","Tranched","On","2,514,913,400","142","40,000,000","4","2,554,913,400","146",
"TABX.HE.07-1.06-2.BBB-.5-10","Tranched","On","145,000,000","11","75,000,000","13","220,000,000","24",
"TRX.II.AAA.1.MAR13","Untranched","On","240,000,000","13","150,000,000","1","390,000,000","14",
"ABX.HE.A.06-1","Untranched","Off","4,138,248,968","79","651,500,000","40","4,789,748,968","119",
"ABX.HE.A.06-2","Untranched","Off","1,658,731,000","40","130,000,000","16","1,788,731,000","56",
"ABX.HE.A.07-1","Untranched","Off","2,258,833,199","41","10,000,000","1","2,268,833,199","42",
"ABX.HE.AA.06-1","Untranched","Off","4,162,221,300","165","569,350,000","113","4,731,571,300","278",
"ABX.HE.AA.06-2","Untranched","Off","1,877,792,886","58","354,000,000","37","2,231,792,886","95",
"ABX.HE.AA.07-1","Untranched","Off","1,129,418,088","68","95,000,000","15","1,224,418,088","83",
"ABX.HE.AAA.06-1","Untranched","Off","8,776,168,400","155","2,219,925,001","308","10,996,093,401","463",
"ABX.HE.AAA.06-2","Untranched","Off","6,447,640,754","362","1,966,626,042","233","8,414,266,796","595",
"ABX.HE.AAA.07-1","Untranched","Off","5,793,820,898","143","1,529,425,000","139","7,323,245,898","282",
"ABX.HE.BBB.06-1","Untranched","Off","4,498,200,175","52","135,000,000","21","4,633,200,175","73",
"ABX.HE.BBB.06-2","Untranched","Off","3,924,541,499","60","136,090,420","8","4,060,631,919","68",
"ABX.HE.BBB.07-1","Untranched","Off","942,557,202","61","111,580,000","5","1,054,137,202","66",
"ABX.HE.BBB-.06-1","Untranched","Off","3,062,430,884","73","70,000,000","6","3,132,430,884","79",
"ABX.HE.BBB-.06-2","Untranched","Off","3,939,036,167","106","75,000,000","9","4,014,036,167","115",
"ABX.HE.BBB-.07-1","Untranched","Off","249,272,000","13","46,000,000","4","295,272,000","17",
"CDX.EM.10","Untranched","Off","1,962,972,500","116","123,000,000","14","2,085,972,500","130",
"CDX.EM.11","Untranched","Off","3,013,435,823","85","93,390,000","21","3,106,825,823","106",
